id_aula,aula,data,disciplina,area,assunto,objetivos,conteudos
AULA0001,Aula 2,,,Saúde Coletiva,aula_2_saude_coletiva,"Aula 2 - Saúde Coletiva Tema: Epidemiologia da dengue na atenção primária. Objetivos: Compreender os indicadores epidemiológicos. Relacionar vigilância em saúde, território e SUS. Interpretar incidência, prevalência e fatores de risco.","Aula 2 - Saúde Coletiva Tema: Epidemiologia da dengue na atenção primária. Objetivos: Compreender os indicadores epidemiológicos. Relacionar vigilância em saúde, território e SUS. Interpretar incidência, prevalência e fatores de risco."
AULA0002,Plano de Aula - Saúde Coletiva VI - 2026.1 - Turma B,,,Clínica Médica,Plano de Aula - Saúde Coletiva VI - 2026.1 - Turma B,"Ementa Plano de Aula Currículo resumido do professor: Profa Dra Mônica de Cássia Firmida - Médica Pediatra e Pneumologista Pediátrica, com graduação pela Faculdade de Ciências Médicas (FCM), UERJ, residência médica pelo Instituto Fernandes Figueira (IFF)/Fiocruz, Mestrado em Pediatria pela UFF e Doutorado em Medicina pelo PGCM/UERJ. Docente de medicina desde o ano 2000. Atualmente, Professora de Medicina na UNILAGOS e na FCM UERJ Cabo Frio e médica do Núcleo de Ensino, Extensão e Pesquisa (NEEP)","Ementa Plano de Aula Currículo resumido do professor: Profa Dra Mônica de Cássia Firmida - Médica Pediatra e Pneumologista Pediátrica, com graduação pela Faculdade de Ciências Médicas (FCM), UERJ, residência médica pelo Instituto Fernandes Figueira (IFF)/Fiocruz, Mestrado em Pediatria pela UFF e Doutorado em Medicina pelo PGCM/UERJ. Docente de medicina desde o ano 2000. Atualmente, Professora de Medicina na UNILAGOS e na FCM UERJ Cabo Frio e médica do Núcleo de Ensino, Extensão e Pesquisa (NEEP) do Hospital Universitário Reitor Hesio Cordeiro (HURHC), UERJ Cabo Frio. Profa Esp Mariana Mauricio Silva Costa- graduação pela faculdade da UERJ, residência médica de clínica médica pelo hospital central da polícia militar do RJ, residência em endocrinologia pelo hospital universitário Gafre Guinlle( UNIRIO), Título de especialista pela sociedade brasileira de Medicina de Família e Comunidade e pós graduaçao de Psiquiatria. Há 2 anos como tutora do programa Mais Médico. Atualmente, Professora "
AULA0003,PLANO DE AULA CLÍNICA MÉDICA I - Turma A,,,Saúde Coletiva,PLANO DE AULA CLÍNICA MÉDICA I - Turma A,Ementa Plano de Aula Currículo resumido do professor: PROFESSOR ÁLVARO LUBAMBO – PROFESSOR ÁLVARO LUBAMBO – Possui graduação em Medicina da Universidade Federal da Paraíba (UFPB). Residência em Medicina de Família e Comunidade pela SES PB (2014). Residência Médica em Cuidados Paliativos e Atenção Domiciliar (HNL – 2015). Residência Médica em Patologia pelo Hospital Universitário Clementino Fraga Filho (UFRJ - 2022). Mestrando em Educação pela Universidade Iberoamericana. Mestrando em Patologia O,"Ementa Plano de Aula Currículo resumido do professor: PROFESSOR ÁLVARO LUBAMBO – PROFESSOR ÁLVARO LUBAMBO – Possui graduação em Medicina da Universidade Federal da Paraíba (UFPB). Residência em Medicina de Família e Comunidade pela SES PB (2014). Residência Médica em Cuidados Paliativos e Atenção Domiciliar (HNL – 2015). Residência Médica em Patologia pelo Hospital Universitário Clementino Fraga Filho (UFRJ - 2022). Mestrando em Educação pela Universidade Iberoamericana. Mestrando em Patologia Oncológica para Patologistas (TECH). Médico Patologista (Servidor) do Hospital Pedro Ernesto da UERJ. Especialista em Perícias Médicas. MBA em Gestão Hospitalar. Professor da Faculdade UNILAGOS (2025 – Atual) nas disciplinas de Medicina Lega, Habilidades Médicas III, Clínica Médica I e II e Atenção Primária a Saúde da Mulher. PROFESSOR MARIO FONSECA - Possui graduação em Medicina pela Universidade Gama Filho (UGF); Residência médica município Rio de Janeiro (HMMC); Pós graduado no hospital univer"
AULA0004,PLANO DE AULA CLÍNICA MÉDICA II - TURMA A,,,Saúde Coletiva,PLANO DE AULA CLÍNICA MÉDICA II - TURMA A,Ementa Plano de Aula Currículo resumido dos professores: PROFESSOR ÁLVARO LUBAMBO – Possui graduação em Medicina da Universidade Federal da Paraíba (UFPB). Residência em Medicina de Família e Comunidade pela SES PB (2014). Residência Médica em Cuidados Paliativos e Atenção Domiciliar (HNL – 2015). Residência Médica em Patologia pelo Hospital Universitário Clementino Fraga Filho (UFRJ - 2022). Mestrando em Educação pela Universidade Iberoamericana. Mestrando em Patologia Oncológica para Patologis,"Ementa Plano de Aula Currículo resumido dos professores: PROFESSOR ÁLVARO LUBAMBO – Possui graduação em Medicina da Universidade Federal da Paraíba (UFPB). Residência em Medicina de Família e Comunidade pela SES PB (2014). Residência Médica em Cuidados Paliativos e Atenção Domiciliar (HNL – 2015). Residência Médica em Patologia pelo Hospital Universitário Clementino Fraga Filho (UFRJ - 2022). Mestrando em Educação pela Universidade Iberoamericana. Mestrando em Patologia Oncológica para Patologistas (TECH). Médico Patologista (Servidor) do Hospital Pedro Ernesto da UERJ. Especialista em Perícias Médicas. MBA em Gestão Hospitalar. Professor da Faculdade UNILAGOS (2025 – Atual) nas disciplinas de Medicina Lega, Habilidades Médicas III, Clínica Médica I e II e Atenção Primária a Saúde da Mulher. Profª Danielle Brasil: Possui graduação em Medicina pela Universidade Federal Fluminense (2005), residências em Clínica Médica e Gastroenterologia pela Universidade Estadual do Rio de Janeiro/ Hosp"
AULA0005,Plano de Aula - Saúde Coletiva V - 2026.1 - Turma B,,,Saúde Coletiva,Plano de Aula - Saúde Coletiva V - 2026.1 - Turma B,"Ementa Plano de Aula Currículo resumido do professor: Prof. Me. Sérgio Nunes de Souza Porto. Mestre em Ensino de Ciências da Saúde e do Ambiente (Universidade Anhanguera, 2011). Médico clínico geral graduado pela Universidade Estácio de Sá/IDOMED, 2023. Plantonista no time de resposta rápida (TRR), nos setores de clínica médica, clínica cirúrgica, cardiologia, cuidados paliativos, e transplante de medula óssea. Plantonista da Unidade de Tratamento Intensivo Geral (UTG), ambas atividades no Compl","Ementa Plano de Aula Currículo resumido do professor: Prof. Me. Sérgio Nunes de Souza Porto. Mestre em Ensino de Ciências da Saúde e do Ambiente (Universidade Anhanguera, 2011). Médico clínico geral graduado pela Universidade Estácio de Sá/IDOMED, 2023. Plantonista no time de resposta rápida (TRR), nos setores de clínica médica, clínica cirúrgica, cardiologia, cuidados paliativos, e transplante de medula óssea. Plantonista da Unidade de Tratamento Intensivo Geral (UTG), ambas atividades no Complexo Hospitalar de Niterói/CHN, Rede AMÉRICAS, 2023-atual. Foi plantonista no Centro de Tratamento Intensivo adulto, (CTI), no Hospital Municipal Carlos Tortelly (HMCT), Prefeitura Municipal de Niterói/RJ, 12/2023 a 12/2024. Enfermeiro da Educação Continuada e Treinamento em Serviço da Coordenação Municipal de Enfermagem / Prefeitura Municipal de Cabo Frio, 2013-atual. Especialista em Enfermagem em Terapia Intensiva Adulto pela Universidade do Estado do Rio de Janeiro (UERJ), 2005. Graduado em En"
AULA0006,Plano de Aula - Pediatria I - 2026.1 - Turma B,,,Pediatria,Plano de Aula - Pediatria I - 2026.1 - Turma B,"Ementa Plano de Aula Currículo resumido do professor: Angela Ida da Silva Police Médica pediatra com atuação em pneumopediatria, emergência pediátrica, neonatologia e puericultura. Residência médica em pediatria pelo HMSF - RJ, especialização em pneumopediatria pela POSFG, especialização em neonatologia IBCMED, Mestrado em saúde materno-infantil pela UFF. Título de especialista em pediatria e pneumologia pediátrica pela AMB/SBP. https://wwws.cnpq.br/cvlattesweb/PKG_MENU.menu?f_cod=3ACF4E68148B81","Ementa Plano de Aula Currículo resumido do professor: Angela Ida da Silva Police Médica pediatra com atuação em pneumopediatria, emergência pediátrica, neonatologia e puericultura. Residência médica em pediatria pelo HMSF - RJ, especialização em pneumopediatria pela POSFG, especialização em neonatologia IBCMED, Mestrado em saúde materno-infantil pela UFF. Título de especialista em pediatria e pneumologia pediátrica pela AMB/SBP. https://wwws.cnpq.br/cvlattesweb/PKG_MENU.menu?f_cod=3ACF4E68148B81D0E5E157D8638DB7B5# Carla Beatriz dos Santos Amat Nunes Médica pediatra intensivista com especialização em traumatologia. Residência Médica em Pediatria HSE– (2004/2006). Residência Médica em Terapia Intensiva Pediátrica HSE – (2006/2008). Atuando na Presidência da Regional Baixada Litorânea SOPERJ (Sociedade de Pediatria do Estado do Rio de Janeiro). Membro Efetivo do Comitê de Terapia Intensiva Pediátrica da SOPERJ desde 2019. Capitão Médico do Corpo de Bombeiro do Estado do Rio de Janeiro des"
